Open World Binary - Random Forest Experiment Results (No SMOTE)
==================================================
{'Feature_Select_k': 50, 'Normalize': True, 'Feature_Engineering': True, 'Params': {'n_estimators': 200, 'max_depth': None, 'min_samples_split': 5, 'min_samples_leaf': 2, 'bootstrap': False}, 'Cross_Val_Mean_Accuracy': 0.9223706896551725, 'Cross_Val_Std': 0.000996053448990629, 'Test_Accuracy': 0.9236206896551724}
{'Feature_Select_k': 50, 'Normalize': True, 'Feature_Engineering': True, 'Params': {'n_estimators': 200, 'max_depth': 10, 'min_samples_split': 2, 'min_samples_leaf': 1, 'bootstrap': True}, 'Cross_Val_Mean_Accuracy': 0.9023706896551724, 'Cross_Val_Std': 0.001566026045222839, 'Test_Accuracy': 0.8981034482758621}
{'Feature_Select_k': 50, 'Normalize': True, 'Feature_Engineering': True, 'Params': {'n_estimators': 200, 'max_depth': 10, 'min_samples_split': 2, 'min_samples_leaf': 1, 'bootstrap': False}, 'Cross_Val_Mean_Accuracy': 0.903491379310345, 'Cross_Val_Std': 0.002455005321706585, 'Test_Accuracy': 0.9008620689655172}
{'Feature_Select_k': 50, 'Normalize': True, 'Feature_Engineering': True, 'Params': {'n_estimators': 200, 'max_depth': 10, 'min_samples_split': 2, 'min_samples_leaf': 2, 'bootstrap': True}, 'Cross_Val_Mean_Accuracy': 0.9028879310344827, 'Cross_Val_Std': 0.002659171864687438, 'Test_Accuracy': 0.9005172413793103}
{'Feature_Select_k': 50, 'Normalize': True, 'Feature_Engineering': True, 'Params': {'n_estimators': 200, 'max_depth': 10, 'min_samples_split': 2, 'min_samples_leaf': 2, 'bootstrap': False}, 'Cross_Val_Mean_Accuracy': 0.9034051724137931, 'Cross_Val_Std': 0.002253778700414049, 'Test_Accuracy': 0.9}
{'Feature_Select_k': 50, 'Normalize': True, 'Feature_Engineering': True, 'Params': {'n_estimators': 200, 'max_depth': 10, 'min_samples_split': 5, 'min_samples_leaf': 1, 'bootstrap': True}, 'Cross_Val_Mean_Accuracy': 0.9025862068965516, 'Cross_Val_Std': 0.0022930062203914163, 'Test_Accuracy': 0.9001724137931034}
{'Feature_Select_k': 50, 'Normalize': True, 'Feature_Engineering': True, 'Params': {'n_estimators': 200, 'max_depth': 10, 'min_samples_split': 5, 'min_samples_leaf': 1, 'bootstrap': False}, 'Cross_Val_Mean_Accuracy': 0.9028448275862069, 'Cross_Val_Std': 0.0020327286418192515, 'Test_Accuracy': 0.8994827586206896}
{'Feature_Select_k': 50, 'Normalize': True, 'Feature_Engineering': True, 'Params': {'n_estimators': 200, 'max_depth': 10, 'min_samples_split': 5, 'min_samples_leaf': 2, 'bootstrap': True}, 'Cross_Val_Mean_Accuracy': 0.9028879310344828, 'Cross_Val_Std': 0.002262828404897714, 'Test_Accuracy': 0.9001724137931034}
{'Feature_Select_k': 50, 'Normalize': True, 'Feature_Engineering': True, 'Params': {'n_estimators': 200, 'max_depth': 10, 'min_samples_split': 5, 'min_samples_leaf': 2, 'bootstrap': False}, 'Cross_Val_Mean_Accuracy': 0.9030603448275862, 'Cross_Val_Std': 0.001981821367684932, 'Test_Accuracy': 0.9005172413793103}
{'Feature_Select_k': 50, 'Normalize': True, 'Feature_Engineering': True, 'Params': {'n_estimators': 200, 'max_depth': 20, 'min_samples_split': 2, 'min_samples_leaf': 1, 'bootstrap': True}, 'Cross_Val_Mean_Accuracy': 0.9194827586206896, 'Cross_Val_Std': 0.0018916472635768608, 'Test_Accuracy': 0.9158620689655173}
{'Feature_Select_k': 50, 'Normalize': True, 'Feature_Engineering': True, 'Params': {'n_estimators': 200, 'max_depth': 20, 'min_samples_split': 2, 'min_samples_leaf': 1, 'bootstrap': False}, 'Cross_Val_Mean_Accuracy': 0.9226293103448275, 'Cross_Val_Std': 0.00047217461853896257, 'Test_Accuracy': 0.9217241379310345}
{'Feature_Select_k': 50, 'Normalize': True, 'Feature_Engineering': True, 'Params': {'n_estimators': 200, 'max_depth': 20, 'min_samples_split': 2, 'min_samples_leaf': 2, 'bootstrap': True}, 'Cross_Val_Mean_Accuracy': 0.9190517241379311, 'Cross_Val_Std': 0.0017646111629705695, 'Test_Accuracy': 0.9163793103448276}
{'Feature_Select_k': 50, 'Normalize': True, 'Feature_Engineering': True, 'Params': {'n_estimators': 200, 'max_depth': 20, 'min_samples_split': 2, 'min_samples_leaf': 2, 'bootstrap': False}, 'Cross_Val_Mean_Accuracy': 0.9213793103448275, 'Cross_Val_Std': 0.0015860663356012223, 'Test_Accuracy': 0.9205172413793103}
{'Feature_Select_k': 50, 'Normalize': True, 'Feature_Engineering': True, 'Params': {'n_estimators': 200, 'max_depth': 20, 'min_samples_split': 5, 'min_samples_leaf': 1, 'bootstrap': True}, 'Cross_Val_Mean_Accuracy': 0.9192241379310344, 'Cross_Val_Std': 0.0021177790511272836, 'Test_Accuracy': 0.9163793103448276}
{'Feature_Select_k': 50, 'Normalize': True, 'Feature_Engineering': True, 'Params': {'n_estimators': 200, 'max_depth': 20, 'min_samples_split': 5, 'min_samples_leaf': 1, 'bootstrap': False}, 'Cross_Val_Mean_Accuracy': 0.9225, 'Cross_Val_Std': 0.0024595418306357125, 'Test_Accuracy': 0.920344827586207}
{'Feature_Select_k': 50, 'Normalize': True, 'Feature_Engineering': True, 'Params': {'n_estimators': 200, 'max_depth': 20, 'min_samples_split': 5, 'min_samples_leaf': 2, 'bootstrap': True}, 'Cross_Val_Mean_Accuracy': 0.9197844827586208, 'Cross_Val_Std': 0.0021697780945953535, 'Test_Accuracy': 0.9167241379310345}
{'Feature_Select_k': 50, 'Normalize': True, 'Feature_Engineering': True, 'Params': {'n_estimators': 200, 'max_depth': 20, 'min_samples_split': 5, 'min_samples_leaf': 2, 'bootstrap': False}, 'Cross_Val_Mean_Accuracy': 0.9213793103448277, 'Cross_Val_Std': 0.0024207105313963813, 'Test_Accuracy': 0.9208620689655173}
